Unit: dimensionless (% of output purchased),government,domestic industries,labor and consumers,foreign entities
agriculture and forestry 01T03,0,0.752322713143332,0.1373455301591585,0.11033175669750953
coal mining 05,0,0.9696957506599965,0.002389470550441311,0.02791477878956214
oil and gas extraction 06,0,0.9971835284465986,0,0.0028164715534013405
other mining and quarrying 07T08,0,0.9696957506599965,0.0023894705504413105,0.027914778789562136
food beverage and tobacco 10T12,0,0.4081179824857426,0.5685938076641599,0.023288209850097517
textiles apparel and leather 13T15,9.49328874791912e-5,0.30069069654426095,0.627819323654649,0.07139504691361084
wood products 16,2.6987285305299634e-4,0.9403887460053567,0.025679539720488517,0.033661841421101756
pulp paper and printing 17T18,0,0.8285373933631415,0.09350902701162742,0.0779535796252311
refined petroleum and coke 19,0,0.5875509152491493,0.382886207677726,0.029562877073124817
chemicals 20,0,0.48883355147655305,0.2864841563080512,0.2246822922153958
rubber and plastic products 22,6.339223226921209e-5,0.8235595946637446,0.11053751396560094,0.0658394991383852
glass and glass products 231,0,0.8975101685546283,0.06205614849427815,0.04043368295109363
cement and other nonmetallic minerals 239,0,0.8975101685546282,0.06205614849427816,0.04043368295109364
iron and steel 241,0,0.9211605138137974,0.03215271631679741,0.046686769869405224
other metals 242,0,0.9502175076707976,0.0016042520406898367,0.04817824028851258
metal products except machinery and vehicles 25,0.00197104648102981,0.8968425491172292,0.03857571468743821,0.06261068971430277
computers and electronics 26,0.03382684185705872,0.5604676598148932,0.3035942297895603,0.10211126853848775
appliances and electrical equipment 27,0.008503973583241295,0.6629954415563909,0.2101517948942473,0.11834878996612053
other machinery 28,0.032719129266560364,0.655432273316398,0.028042283468316255,0.2838063139487254
road vehicles 29,0.03119813210405534,0.5699614436979734,0.2814288855860737,0.11741153861189757
nonroad vehicles 30,0.003929612714608877,0.22846799079138713,0.12894634077124037,0.6386560557227636
other manufacturing 31T33,0.007018926515186405,0.3114186594291028,0.3649978092497099,0.31656460480600085
energy pipelines and gas processing 352T353,0,0.640207056680184,0.3099586079605858,0.04983433535923026
water and waste 36T39,0,0.7638293285991465,0.2339043828509877,0.0022662885498657723
construction 41T43,0.526334512143152,0.47350698011602693,0,1.585077408211144e-4
